iter	Passed	Remaining
0	6	3061
1	10	2543
2	13	2318
3	19	2451
4	23	2346
5	27	2265
6	31	2225
7	36	2237
8	40	2213
9	44	2179
10	49	2205
11	56	2312
12	61	2285
13	66	2297
14	70	2270
15	74	2245
16	78	2228
17	82	2201
18	86	2179
19	90	2162
20	93	2143
21	97	2124
22	101	2106
23	105	2089
24	109	2074
25	113	2067
26	117	2054
27	121	2041
28	124	2026
29	128	2019
30	132	2007
31	136	1996
32	140	1984
33	144	1980
34	148	1970
35	152	1959
36	155	1948
37	159	1942
38	163	1931
39	167	1921
40	170	1912
41	175	1917
42	179	1909
43	183	1899
44	186	1890
45	192	1896
46	195	1888
47	199	1881
48	203	1875
49	208	1872
50	211	1863
51	215	1855
52	219	1847
53	223	1842
54	226	1834
55	230	1827
56	234	1819
57	238	1815
58	241	1807
59	245	1801
60	249	1794
61	253	1790
62	257	1786
63	261	1782
64	265	1779
65	270	1775
66	274	1772
67	278	1769
68	282	1765
69	286	1762
70	291	1759
71	295	1756
72	299	1754
73	304	1752
74	308	1745
75	311	1740
76	315	1733
77	319	1729
78	323	1722
79	327	1717
80	330	1711
81	334	1707
82	338	1701
83	342	1696
84	346	1692
85	350	1687
86	354	1682
87	358	1676
88	361	1671
89	365	1666
90	369	1660
91	373	1655
92	377	1650
93	381	1645
94	384	1640
95	388	1636
96	392	1630
97	396	1626
98	400	1621
99	404	1616
100	407	1611
101	411	1606
102	415	1602
103	420	1601
104	424	1596
105	431	1602
106	435	1599
107	439	1596
108	444	1596
109	449	1594
110	454	1591
111	458	1589
112	464	1589
113	469	1588
114	472	1582
115	478	1585
116	482	1580
117	486	1574
118	490	1570
119	494	1564
120	497	1559
121	501	1554
122	505	1550
123	509	1544
124	513	1539
125	517	1534
126	520	1529
127	524	1525
128	528	1520
129	532	1515
130	536	1509
131	539	1505
132	543	1500
133	547	1494
134	551	1489
135	555	1486
136	558	1480
137	562	1475
138	566	1470
139	571	1468
140	574	1463
141	578	1458
142	582	1454
143	586	1449
144	590	1444
145	593	1439
146	597	1434
147	601	1430
148	605	1425
149	609	1421
150	612	1416
151	616	1411
152	620	1406
153	623	1401
154	627	1396
155	631	1392
156	635	1387
157	639	1383
158	642	1378
159	646	1373
160	650	1369
161	654	1364
162	657	1359
163	661	1355
164	665	1351
165	669	1346
166	675	1347
167	680	1343
168	683	1339
169	687	1335
170	691	1331
171	695	1326
172	701	1325
173	704	1320
174	708	1315
175	712	1311
176	716	1307
177	719	1302
178	723	1297
179	727	1292
180	730	1288
181	734	1283
182	738	1278
183	741	1274
184	746	1270
185	749	1265
186	753	1261
187	757	1256
188	761	1252
189	764	1247
190	768	1243
191	771	1238
192	775	1234
193	779	1230
194	783	1225
195	787	1221
196	791	1217
197	795	1212
198	798	1207
199	802	1203
200	806	1199
201	810	1195
202	814	1191
203	817	1186
204	828	1191
205	832	1188
206	836	1183
207	841	1180
208	846	1178
209	850	1174
210	854	1170
211	860	1169
212	864	1164
213	868	1160
214	872	1156
215	876	1152
216	880	1147
217	883	1143
218	888	1139
219	891	1134
220	895	1130
