iter	Passed	Remaining
0	8	4487
1	12	3217
2	17	2863
3	26	3304
4	30	3011
5	40	3310
6	43	3095
7	47	2939
8	52	2875
9	60	2975
10	66	2970
11	72	2961
12	77	2906
13	85	2964
14	90	2927
15	94	2873
16	99	2822
17	105	2819
18	109	2763
19	112	2711
20	118	2692
21	122	2666
22	126	2626
23	130	2591
24	137	2604
25	141	2577
26	145	2546
27	150	2542
28	155	2524
29	159	2494
30	163	2479
31	170	2488
32	174	2470
33	178	2449
34	184	2455
35	188	2434
36	193	2415
37	198	2412
38	202	2397
39	206	2374
40	211	2362
41	217	2367
42	221	2349
43	224	2329
44	231	2342
45	237	2342
46	242	2334
47	248	2338
48	252	2328
49	257	2315
50	265	2334
51	268	2317
52	272	2300
53	277	2292
54	283	2293
55	286	2275
56	291	2265
57	296	2263
58	301	2250
59	304	2235
60	309	2228
61	314	2224
62	319	2218
63	323	2206
64	329	2207
65	333	2192
66	337	2179
67	342	2173
68	347	2168
69	351	2157
70	355	2146
71	361	2147
72	364	2134
73	368	2123
74	373	2116
75	379	2118
76	383	2106
77	388	2103
78	394	2101
79	399	2095
80	406	2100
81	410	2093
82	414	2081
83	418	2072
84	424	2072
85	428	2063
86	432	2052
87	436	2045
88	442	2043
89	446	2033
90	450	2023
91	456	2022
92	460	2013
93	463	2003
94	468	1995
95	473	1992
96	478	1989
97	485	1992
98	490	1987
99	495	1981
100	499	1972
101	506	1974
102	510	1966
103	514	1957
104	522	1964
105	526	1956
106	530	1948
107	537	1952
108	543	1948
109	547	1942
110	555	1945
111	559	1936
112	562	1928
113	569	1927
114	574	1921
115	577	1912
116	584	1912
117	588	1905
118	593	1900
119	600	1902
120	605	1895
121	608	1886
122	614	1884
123	618	1876
124	623	1869
125	626	1860
126	632	1858
127	637	1851
128	640	1843
129	645	1836
130	650	1832
131	655	1827
132	660	1821
133	665	1818
134	669	1810
135	673	1803
136	678	1796
137	684	1796
138	688	1788
139	692	1781
140	698	1778
141	702	1771
142	706	1764
143	712	1761
144	716	1754
145	720	1747
146	724	1740
147	730	1737
148	734	1730
149	738	1722
150	742	1717
151	748	1714
152	752	1707
153	756	1700
154	762	1697
155	766	1690
156	770	1683
157	777	1683
158	781	1676
159	785	1668
160	791	1665
161	796	1662
162	801	1657
163	805	1651
164	811	1647
165	815	1640
166	819	1634
167	824	1630
168	829	1625
169	833	1617
170	837	1611
171	843	1608
172	847	1601
173	850	1594
174	855	1589
175	861	1586
176	865	1579
177	869	1573
178	875	1569
179	879	1563
180	882	1556
181	888	1551
182	893	1547
183	897	1541
184	901	1535
185	907	1532
186	911	1525
187	914	1518
188	919	1512
189	924	1508
190	928	1502
191	932	1495
192	938	1493
193	943	1487
194	947	1481
195	951	1475
196	957	1473
197	961	1466
198	965	1461
199	971	1457
200	975	1451
201	979	1445
202	987	1444
203	991	1439
204	1000	1439
205	1006	1435
206	1010	1430
207	1017	1428
208	1022	1422
209	1026	1417
210	1030	1411
211	1037	1408
212	1040	1402
213	1045	1396
214	1050	1392
215	1055	1387
216	1058	1381
217	1064	1376
218	1068	1371
219	1073	1365
220	1077	1359
221	1083	1356
222	1087	1350
223	1090	1344
224	1095	1339
225	1101	1334
226	1105	1329
227	1109	1323
228	1114	1319
229	1118	1313
230	1122	1307
231	1127	1302
232	1133	1299
233	1137	1293
234	1141	1287
235	1147	1283
236	1151	1278
237	1155	1272
238	1161	1268
239	1166	1263
240	1170	1257
241	1174	1252
242	1182	1250
