iter	Passed	Remaining
0	5	2572
1	8	2017
2	10	1813
3	13	1700
4	17	1754
5	21	1745
6	24	1706
7	27	1695
8	30	1645
9	33	1657
10	36	1621
11	39	1593
12	41	1564
13	44	1538
14	47	1520
15	50	1528
16	53	1511
17	55	1491
18	58	1476
19	61	1464
20	64	1466
21	66	1449
22	70	1465
23	74	1469
24	77	1463
25	80	1460
26	82	1449
27	85	1440
28	87	1429
29	90	1425
30	93	1416
31	97	1425
32	100	1420
33	103	1415
34	106	1415
35	109	1407
36	112	1403
37	115	1401
38	118	1395
39	120	1387
40	124	1389
41	126	1383
42	130	1384
43	132	1377
44	135	1370
45	138	1363
46	141	1361
47	143	1355
48	147	1356
49	150	1351
50	152	1344
51	155	1342
52	158	1335
53	161	1333
54	164	1328
55	166	1321
56	169	1314
57	171	1308
58	174	1301
59	177	1302
60	180	1297
61	182	1292
62	185	1285
63	187	1279
64	190	1273
65	193	1269
66	196	1268
67	198	1262
68	201	1257
69	203	1251
70	206	1246
71	208	1241
72	211	1238
73	214	1232
74	216	1226
75	219	1223
76	221	1218
77	224	1213
78	227	1212
79	230	1207
80	233	1209
81	236	1204
82	238	1199
83	241	1194
84	244	1195
85	247	1190
86	249	1186
87	252	1181
88	255	1179
89	258	1175
90	260	1172
91	263	1169
92	266	1165
93	268	1161
94	271	1156
95	274	1153
96	277	1150
97	279	1147
98	282	1143
99	284	1139
100	287	1135
101	290	1131
102	293	1131
103	295	1126
104	298	1121
105	300	1117
106	304	1116
107	306	1113
108	310	1113
109	313	1110
110	315	1106
111	318	1102
112	320	1098
113	324	1098
114	327	1095
115	329	1091
116	332	1087
117	334	1084
118	337	1080
119	341	1081
120	343	1077
121	346	1073
122	349	1071
123	352	1067
124	354	1064
125	357	1061
126	360	1057
127	362	1054
128	365	1050
129	368	1047
130	370	1044
131	373	1041
132	376	1037
133	378	1034
134	381	1030
135	383	1026
136	386	1022
137	389	1021
138	391	1017
139	394	1013
140	398	1014
141	401	1012
142	404	1009
143	407	1006
144	409	1002
145	412	999
146	414	995
147	416	991
148	420	989
149	423	987
150	425	983
151	428	980
152	430	977
153	434	975
154	438	975
155	441	973
156	443	969
157	446	966
158	449	964
159	452	961
160	455	958
161	457	954
162	460	951
163	462	947
164	464	943
165	467	940
166	470	937
167	472	934
168	475	931
169	477	927
170	480	924
171	482	920
172	486	918
173	488	915
174	491	912
175	493	908
176	496	905
177	498	901
178	501	899
179	503	895
180	506	892
181	509	889
182	511	885
183	513	882
184	516	879
185	519	876
186	522	873
187	524	870
188	526	867
189	529	863
190	531	860
191	535	858
192	538	856
193	540	853
194	543	850
195	546	847
196	548	844
197	551	841
198	554	838
199	556	835
200	559	831
201	562	829
202	564	826
203	568	824
204	571	821
205	573	818
206	576	815
207	578	812
208	580	808
209	584	807
210	587	804
211	590	802
212	593	799
213	595	796
214	598	793
215	602	791
216	604	788
217	607	785
218	609	782
219	612	778
220	615	776
221	617	773
222	620	770
223	622	767
224	625	764
225	628	761
226	631	759
227	634	756
228	636	753
229	639	750
230	641	747
231	644	744
232	647	741
233	650	738
234	652	736
235	655	733
236	657	730
237	660	726
238	662	723
239	665	721
240	668	718
241	671	715
242	673	712
243	676	709
244	678	706
245	682	704
246	684	701
247	687	698
248	690	695
249	692	692
250	695	690
251	698	687
252	701	684
253	703	681
254	706	678
255	708	675
256	711	672
257	714	670
258	716	667
259	719	663
260	721	660
261	723	657
262	726	654
263	730	653
264	733	650
265	736	647
266	739	645
267	742	642
268	745	640
269	747	637
270	750	634
271	752	631
272	755	628
273	758	625
274	760	622
275	763	619
276	766	616
277	768	614
278	771	611
279	774	608
280	777	606
281	780	603
282	782	600
283	786	598
284	790	596
285	793	594
286	797	591
287	799	588
288	802	586
289	805	583
290	808	580
291	811	578
292	814	575
293	817	572
294	820	569
295	823	567
296	827	565
297	830	562
298	832	559
299	835	556
300	837	553
301	841	551
302	843	548
303	845	545
304	848	542
305	851	539
306	853	536
307	856	534
308	860	531
309	863	529
310	866	526
311	868	523
312	871	520
313	874	517
314	877	515
315	879	512
316	882	509
317	884	506
318	887	503
319	890	500
320	892	497
321	895	494
322	897	491
323	899	488
324	902	485
325	904	482
326	907	480
327	910	477
328	912	474
329	915	471
330	917	468
331	920	465
332	923	463
333	926	460
334	929	457
335	931	454
336	934	451
337	936	448
338	939	446
339	942	443
340	944	440
341	947	437
342	949	434
343	951	431
344	954	429
345	957	426
346	960	423
347	962	420
348	964	417
349	966	414
350	969	411
351	972	409
352	975	406
353	977	403
354	980	400
355	982	397
356	984	394
357	987	391
358	989	388
359	992	385
360	994	383
361	997	380
362	999	377
363	1002	374
364	1005	371
365	1007	368
366	1010	366
367	1012	363
368	1015	360
369	1017	357
370	1020	354
371	1023	352
372	1025	349
373	1028	346
374	1030	343
375	1033	340
376	1035	338
377	1038	335
378	1041	332
379	1043	329
380	1046	326
381	1048	323
382	1051	321
383	1053	318
384	1056	315
385	1058	312
386	1061	309
387	1063	307
388	1066	304
389	1069	301
390	1072	298
391	1074	296
392	1076	293
393	1079	290
394	1082	287
395	1085	285
396	1088	282
397	1090	279
398	1092	276
399	1095	273
400	1097	270
401	1100	268
402	1103	265
403	1105	262
404	1108	260
405	1111	257
406	1113	254
407	1117	251
408	1120	249
409	1123	246
410	1125	243
411	1127	240
412	1130	238
413	1134	235
414	1136	232
415	1139	230
416	1141	227
417	1144	224
418	1146	221
419	1149	218
420	1151	216
421	1153	213
422	1156	210
423	1158	207
424	1160	204
425	1162	201
426	1165	199
427	1168	196
428	1171	193
429	1174	191
430	1180	188
431	1183	186
432	1186	183
433	1189	180
434	1192	178
435	1194	175
436	1198	172
437	1201	170
438	1204	167
439	1207	164
440	1210	162
441	1214	159
442	1217	156
443	1220	153
444	1223	151
445	1226	148
446	1228	145
447	1231	142
448	1233	140
449	1235	137
450	1238	134
451	1240	131
452	1242	128
453	1245	126
454	1248	123
455	1250	120
456	1252	117
457	1255	115
458	1257	112
459	1259	109
460	1263	106
461	1265	104
462	1268	101
463	1270	98
464	1272	95
465	1274	92
466	1277	90
467	1280	87
468	1282	84
469	1285	82
470	1288	79
471	1290	76
472	1293	73
473	1295	71
474	1298	68
475	1300	65
476	1302	62
477	1304	60
478	1307	57
479	1310	54
480	1312	51
481	1315	49
482	1317	46
483	1319	43
484	1322	40
485	1325	38
486	1327	35
487	1329	32
488	1331	29
489	1334	27
490	1336	24
491	1338	21
492	1341	19
493	1344	16
494	1347	13
495	1349	10
496	1351	8
497	1353	5
498	1356	2
499	1359	0
